id,brand,model,type,availability,link,image_link
MX3098-bajaj-pulsar-n-125,Bajaj,Pulsar N 125 FI CBS,Naked,out of stock,https://www.galgo.com/MX/motos/MX3098-bajaj-pulsar-n-125,https://images.ctfassets.net/8zlbnewncp6f/3ZFcON0QpmSCc2koYYtuHE/e1d857c00ec5a60a0e5fc3375adbcaac/Bajaj_Pulsar_N_125_Imagen_principal_Galgo_México_1.png
MX3093-vento-cougar-250,Vento,Cougar 250,Trabajo,in stock,https://www.galgo.com/MX/motos/MX3093-vento-cougar-250,https://images.ctfassets.net/8zlbnewncp6f/60gwzU8uWEh6E3LwjbQVPi/e5efda4b86ca6b46773cd8991eff5887/Vento_Cougar_250_Imagen_principal_Galgo_México.png
MX329-bajaj-pulsar-n-250,Bajaj,Pulsar N 250,Naked,in stock,https://www.galgo.com/MX/motos/MX329-bajaj-pulsar-n-250,https://images.ctfassets.net/8zlbnewncp6f/4RxbRFRNzlhu2RJfqBgeF7/e472da1e62b85dd6c55fb5845eafe0a5/bajaj-pulsar-n250-primer-plano.jpg
MX1963-vento-xpress-170-sport,Vento,Xpress Sport 170,Trabajo,in stock,https://www.galgo.com/MX/motos/MX1963-vento-xpress-170-sport,https://images.ctfassets.net/8zlbnewncp6f/2nkmbgJ3FwVwdIVtpv5451/41f04d8a6b6ce83c3123bbec6e32178b/Vento_XPRESS_170_Sport_1.png
MX3142-tvs-duramax,TVS,Duramax,Trimoto,in stock,https://www.galgo.com/MX/motos/MX3142-tvs-duramax,https://images.ctfassets.net/8zlbnewncp6f/4QWctrWxLUxFWFxJQQPCIF/fb6fb79f9ae0423ba64c03d919f4cc8c/TVS_Duramax_Imagen_principal_Galgo.jpg
MX2465-italika-dm-300,Italika,DM 300,Doble Propósito,out of stock,https://www.galgo.com/MX/motos/MX2465-italika-dm-300,https://images.ctfassets.net/8zlbnewncp6f/12BiORQ2bDMwqMksddVRda/8c0db6d37810548db0e808387a921cfd/Italika_DM_300_2025.jpg
MX3086-cf-moto-800mt-x,CF Moto,800MT-X,Touring,in stock,https://www.galgo.com/MX/motos/MX3086-cf-moto-800mt-x,https://images.ctfassets.net/8zlbnewncp6f/VhXrKS4h6MMqSTKG4ibaX/35149d3526c618d198693869cffdc3fd/CF_Moto_800MT-X_Imagen_principal_Galgo_México.png
MX1294-italika-200-z,Italika,200Z,Naked,out of stock,https://www.galgo.com/MX/motos/MX1294-italika-200-z,https://images.ctfassets.net/8zlbnewncp6f/4qVrpxoqSbz4s9hplVjUY4/e696a1f9dca1c165126522e8dd57a772/Italika_200Z_Imagen_principal_Galgo_México.png
MX2282-cf-moto-250sr-fun,CF Moto,250SR FUN,Deportiva,in stock,https://www.galgo.com/MX/motos/MX2282-cf-moto-250sr-fun,https://images.ctfassets.net/8zlbnewncp6f/3n6TqI1mqNfVtud0Ps4qD5/4e1a86d2221238e13893930801d60158/CF_Moto_250SR_FUN.png
MX2519-italika-ft-200-gts,Italika,FT 200 GTS,Naked,out of stock,https://www.galgo.com/MX/motos/MX2519-italika-ft-200-gts,https://images.ctfassets.net/8zlbnewncp6f/2HJ7qK7C0mvM8uBcxS2DaW/f1522fe0441100fd0be3f88750bd05f0/Italika_FT_200_GTS_2025_Imagen_principal_Galgo_M_xico.webp
MX2325-yamaha-yz-250f,Yamaha,YZ250F,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX2325-yamaha-yz-250f,https://images.ctfassets.net/8zlbnewncp6f/2sOlEcgyVaLzDe555ACKQ9/c41dd635daf3a9e423718dd9fe9dd228/Yamaha_YZ_250F_-_Galgo_M_xico_Principal.jpg
MX2613-cf-moto-cforce-450-corta,CF Moto,CFORCE 450 Corta,Cuatrimoto,in stock,https://www.galgo.com/MX/motos/MX2613-cf-moto-cforce-450-corta,https://images.ctfassets.net/8zlbnewncp6f/5QF0WgRGcvyjWrUXRf0DCX/11f5d229ac8023f2e1966f5dcad965d5/CFORCE450_Imagen_principal_Galgo_M_xico.png
MX1408-italika-150z-2023,Italika,150Z,Trabajo,out of stock,https://www.galgo.com/MX/motos/MX1408-italika-150z-2023,https://images.ctfassets.net/8zlbnewncp6f/69jwkAZQGlrG6By05y0OuH/1139baf5b9ee34497f1fe48057a37019/italika-150z-primer-plano.jpg
MX1956-vento-rocketman-300-racing,Vento,Rocketman 300 Racing,Café Racer,out of stock,https://www.galgo.com/MX/motos/MX1956-vento-rocketman-300-racing,https://images.ctfassets.net/8zlbnewncp6f/5Uyg15YQVFgJ3l4X6nsqEV/0a9f5c71eac38fee8aaa6524247babc4/rocket_front_persp.jpg
